record_type,year,category,subtype,citation,doi,mnicsw_points,impact_factor,start_date,end_date,city,country,award
journal_article,2025,A,Journal article,"Sołtysiuk, M., Przyborowska, P., Wiszniewska-Łaszczych, A., Tobolski, D. Virulence, cytotoxicity potential and biofilm production ability of Listeria spp. isolated from raw fish in Poland. BMC Veterinary Research (in press).",,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Zwierzchowski, G., Wójcik, R., Tobolski, D. The applicability of the Migratest® kit for evaluating the chemotactic activity of peripheral blood granulocytes in lambs supplemented with a multi-strain probiotic formulation (Lactobacillus, Bifidobacterium). BMC Veterinary Research (in press).",10.1186/s12917-025-05202-z,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Pytel, A.T., Tobolski, D., Skup, P., Strączyńska, P., Domrazek, K., Gajewski, Z., Gorodkiewicz, E., Papis, K. Correlation between intrafollicular IL-10, progesterone, and bovine oocyte developmental competence. International Journal of Molecular Sciences (in press).",10.3390/ijms262311364,140.0,4.9,,,,,
journal_article,2025,A,Journal article,"Tobolska, A., Bajon, J., Adamiak, Z., Tobolski, D. Mathematical models predict the physiological dimensions of selected canine carpal joint structures across imaging modalities in healthy dogs. Scientific Reports (in press).",10.1038/s41598-025-27069-8,140.0,3.9,,,,,
journal_article,2025,A,Journal article,"Pytel, A.T., Tobolski, D., Skup, P., Gargaś, J., Flis, S., Gajewski, Z., Gorodkiewicz, E., Papis, K. A novel surface plasmon resonance imaging (SPRi) biosensor for the determination of bovine interleukin-10: development, validation, and application in biological fluids. International Journal of Molecular Sciences (in press).",10.3390/ijms262110395,140.0,4.9,,,,,
journal_article,2025,A,Journal article,"Wójcik, R., Król-Grzymała, A., Tobolski, D., Paritova, A., García-Calvo, E., Miciński, J., Zwierzchowski, G. Serum metabolomics uncovers immune and lipid pathway alterations in lambs supplemented with novel LAB–Bifidobacterium cocktail. International Journal of Molecular Sciences (in press).",10.3390/ijms26199808,140.0,4.9,,,,,
journal_article,2025,A,Journal article,"Wójtowicz, A., Sadowska, A., Molcan, T., Słyszewska, M., Drzewiecka, E., Tobolski, D., Ferreira-Dias, G., Szóstek-Mioduchowska, A. Th1 and Th2 cells in equine endometrosis and their interactions with endometrial fibroblasts. Scientific Reports (in press).",10.1038/s41598-025-20152-0,140.0,3.9,,,,,
journal_article,2025,A,Journal article,"Żarczyńska, K., Różańska, K., Brym, P., Tobolski, D. Preparturient oral selenitetriglyceride supplementation elevates erythrocyte glutathione peroxidase activity, and modulates hepatic TNF-α, PPAR-α and PPAR-δ mRNA in postparturient Holstein-Friesian cows. International Journal of Molecular Sciences, 26(1), 1–20.",10.3390/ijms26168018,140.0,4.9,,,,,
journal_article,2025,A,Journal article,"Tobolski, D., Pascottini, O.B., Opsomer, G., Tobolska, A., Barański, W. Blood total calcium concentrations in the fourth week postpartum of dairy cows continue to play a key role in uterine involution. Theriogenology, 226, 1–10.",10.1016/j.theriogenology.2025.117486,140.0,2.5,,,,,
journal_article,2025,A,Journal article,"Sołtysiuk, M., Przyborowska, P., Wiszniewska-Łaszczych, A., Tobolski, D. Prevalence and antimicrobial resistance profile of Listeria spp. isolated from raw fish. BMC Veterinary Research, 21, 333.",10.1186/s12917-025-04792-y,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Tobolski, D., Krupa, M., Polak, Z., Pascottini, O.B., Opsomer, G., Barański, W. Exploring the influence of endometritis diagnostic criteria on uterine involution, milk yield and fertility in dairy cows. BMC Veterinary Research, 21, 276.",10.1186/s12917-025-04727-7,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Przyborowska, P., Tobolski, D. Serotyping and antimicrobial resistance of Actinobacillus pleuropneumoniae isolates from fattening pigs in Poland from 2019 to 2024. BMC Veterinary Research, 21, 40.",10.1186/s12917-025-04504-6,140.0,2.6,,,,,
journal_article,2025,A,Journal article,"Daszkiewicz, T., Miciński, J., Wójcik, R., Tobolski, D., Zwierzchowski, G., Kobzhassarov, T., Charkiewicz, K. The effect of probiotic supplementation in Kamieniec lambs on meat quality. Small Ruminant Research, 244, 107444.",10.1016/j.smallrumres.2025.107444,100.0,1.4,,,,,
journal_article,2025,A,Journal article,"Jaworska, J., Tobolski, D., Kahler, A., Wocławek-Potocka, I., de Mestre, A.M. Single-cell atlas of the pregnant equine endometrium before and after implantation. Biology of Reproduction, 112(1), 1–18.",10.1093/biolre/ioaf004,200.0,3.0,,,,,
journal_article,2025,A,Journal article,"Grzybowska, D., Żarczyńska, K., Sobiech, P., Brym, P., Tobolski, D. Persistently high concentrations of β-hydroxybutyrate affect hepatic SOD2 expression and blood SOD activity in high-yielding dairy cows. BMC Veterinary Research, 21, 12.",10.1186/s12917-024-04464-3,140.0,2.6,,,,,
journal_article,2024,A,Journal article,"Przyborowska, P., Lewko-Wojtowicz, R., Cybulski, P., Maes, D., Tobolski, D. Impact of porcine respiratory disease complex on carcass weight and meatiness: quantitative insights from a mixed-model analysis. BMC Veterinary Research, 20, 554.",10.1186/s12917-024-04410-3,140.0,2.6,,,,,
journal_article,2024,A,Journal article,"Tobolski, D., Zwierzchowski, G., Wójcik, R., Haxhiaj, K., Wishart, D.S., Ametaj, B.N. Metabolic fingerprinting of blood and urine of dairy cows affected by bovine leukemia virus: a mass spectrometry approach. Metabolites, 14(11), 624.",10.3390/metabo14110624,100.0,3.7,,,,,
